"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_read","# of LTS requests from unit TEX accessing device memory (vidmem) for reads","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_red","# of LTS requests from unit TEX accessing device memory (vidmem) for reductions","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_write","# of LTS requests from unit TEX accessing device memory (vidmem) for writes","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_hit","# of LTS requests from unit TEX accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_device_op_write_lookup_miss","# of LTS requests from unit TEX accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer","# of LTS requests from unit TEX accessing peer memory (peermem)","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom","# of LTS requests from unit TEX accessing peer memory (peermem) for all atomics","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_alu","# of LTS requests from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_cas","# of LTS requests from unit TEX accessing peer memory (peermem) for atomic CAS","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_atom_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_membar","# of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_read","# of LTS requests from unit TEX accessing peer memory (peermem) for reads","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for reads that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) for reads that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_red","# of LTS requests from unit TEX accessing peer memory (peermem) for reductions","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for reductions that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) for reductions that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_write","# of LTS requests from unit TEX accessing peer memory (peermem) for writes","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_hit","# of LTS requests from unit TEX accessing peer memory (peermem) for writes that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_miss","# of LTS requests from unit TEX accessing peer memory (peermem) for writes that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem","# of LTS requests from unit TEX accessing system memory (sysmem)","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom","# of LTS requests from unit TEX accessing system memory (sysmem) for all atomics","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_alu","# of LTS requests from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_cas","# of LTS requests from unit TEX accessing system memory (sysmem) for atomic CAS","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_membar","# of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_read","# of LTS requests from unit TEX accessing system memory (sysmem) for reads","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for reads that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_read_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) for reads that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_red","# of LTS requests from unit TEX accessing system memory (sysmem) for reductions","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for reductions that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_red_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) for reductions that missed","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_write","# of LTS requests from unit TEX accessing system memory (sysmem) for writes","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_hit","# of LTS requests from unit TEX accessing system memory (sysmem) for writes that hit","1","1"
"lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_miss","# of LTS requests from unit TEX accessing system memory (sysmem) for writes that missed","1","1"
"lts__t_requests_srcunit_tex_lookup_hit","# of LTS requests from unit TEX that hit","1","1"
"lts__t_requests_srcunit_tex_lookup_miss","# of LTS requests from unit TEX that missed","1","1"
"lts__t_requests_srcunit_tex_op_atom","# of LTS requests from unit TEX for all atomics","1","1"
"lts__t_requests_srcunit_tex_op_atom_dot_alu","# of LTS requests from unit TEX for atomic ALU (non-CAS)","1","1"
"lts__t_requests_srcunit_tex_op_atom_dot_alu_lookup_hit","# of LTS requests from unit TEX for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_srcunit_tex_op_atom_dot_cas","# of LTS requests from unit TEX for atomic CAS","1","1"
"lts__t_requests_srcunit_tex_op_atom_dot_cas_lookup_hit","# of LTS requests from unit TEX for atomic CAS that hit","1","1"
"lts__t_requests_srcunit_tex_op_atom_lookup_hit","# of LTS requests from unit TEX for all atomics that hit","1","1"
"lts__t_requests_srcunit_tex_op_atom_lookup_miss","# of LTS requests from unit TEX for all atomics that missed","1","1"
"lts__t_requests_srcunit_tex_op_membar","# of LTS requests from unit TEX for memory barriers","1","1"
"lts__t_requests_srcunit_tex_op_membar_lookup_hit","# of LTS requests from unit TEX for memory barriers that hit","1","1"
"lts__t_requests_srcunit_tex_op_membar_lookup_miss","# of LTS requests from unit TEX for memory barriers that missed","1","1"
"lts__t_requests_srcunit_tex_op_read","# of LTS requests from unit TEX for reads","1","1"
"lts__t_requests_srcunit_tex_op_read_lookup_hit","# of LTS requests from unit TEX for reads that hit","1","1"
"lts__t_requests_srcunit_tex_op_read_lookup_miss","# of LTS requests from unit TEX for reads that missed","1","1"
"lts__t_requests_srcunit_tex_op_red","# of LTS requests from unit TEX for reductions","1","1"
"lts__t_requests_srcunit_tex_op_red_lookup_hit","# of LTS requests from unit TEX for reductions that hit","1","1"
"lts__t_requests_srcunit_tex_op_red_lookup_miss","# of LTS requests from unit TEX for reductions that missed","1","1"
"lts__t_requests_srcunit_tex_op_write","# of LTS requests from unit TEX for writes","1","1"
"lts__t_requests_srcunit_tex_op_write_lookup_hit","# of LTS requests from unit TEX for writes that hit","1","1"
"lts__t_requests_srcunit_tex_op_write_lookup_miss","# of LTS requests from unit TEX for writes that missed","1","1"
"lts__t_sector_hit_rate","proportion of L2 sector lookups that hit","1","1"
"lts__t_sector_op_atom_dot_alu_hit_rate","# of sector hits for _op_atom_dot_alu per sector access for _op_atom_dot_alu","1","1"
"lts__t_sector_op_atom_dot_cas_hit_rate","# of sector hits for _op_atom_dot_cas per sector access for _op_atom_dot_cas","1","1"
"lts__t_sector_op_atom_hit_rate","# of sector hits for _op_atom per sector access for _op_atom","1","1"
"lts__t_sector_op_read_hit_rate","# of sector hits for _op_read per sector access for _op_read","1","1"
"lts__t_sector_op_red_hit_rate","# of sector hits for _op_red per sector access for _op_red","1","1"
"lts__t_sector_op_write_hit_rate","# of sector hits for _op_write per sector access for _op_write","1","1"
"lts__t_sectors","# of LTS sectors","1","1"
"lts__t_sectors_aperture_device","# of LTS sectors accessing device memory (vidmem)","1","1"
"lts__t_sectors_aperture_device_lookup_hit","# of LTS sectors accessing device memory (vidmem) that hit","1","1"
"lts__t_sectors_aperture_device_lookup_miss","# of LTS sectors accessing device memory (vidmem) that missed","1","1"
"lts__t_sectors_aperture_device_op_atom","# of LTS sectors accessing device memory (vidmem) for all atomics","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_miss","# of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that missed","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas","# of LTS sectors accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS sectors accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_sectors_aperture_device_op_atom_dot_cas_lookup_miss","# of LTS sectors accessing device memory (vidmem) for atomic CAS that missed","1","1"
"lts__t_sectors_aperture_device_op_atom_lookup_hit","# of LTS sectors accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_sectors_aperture_device_op_atom_lookup_miss","# of LTS sectors accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_sectors_aperture_device_op_membar","# of LTS sectors accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_sectors_aperture_device_op_membar_lookup_hit","# of LTS sectors accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_sectors_aperture_device_op_membar_lookup_miss","# of LTS sectors accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_sectors_aperture_device_op_read","# of LTS sectors accessing device memory (vidmem) for reads","1","1"
"lts__t_sectors_aperture_device_op_read_lookup_hit","# of LTS sectors accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_sectors_aperture_device_op_read_lookup_miss","# of LTS sectors accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_sectors_aperture_device_op_red","# of LTS sectors accessing device memory (vidmem) for reductions","1","1"
"lts__t_sectors_aperture_device_op_red_lookup_hit","# of LTS sectors accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_sectors_aperture_device_op_red_lookup_miss","# of LTS sectors accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_sectors_aperture_device_op_write","# of LTS sectors accessing device memory (vidmem) for writes","1","1"
"lts__t_sectors_aperture_device_op_write_lookup_hit","# of LTS sectors accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_sectors_aperture_device_op_write_lookup_miss","# of LTS sectors accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_sectors_aperture_peer","# of LTS sectors accessing peer memory (peermem)","1","1"
"lts__t_sectors_aperture_peer_lookup_hit","# of LTS sectors accessing peer memory (peermem) that hit","1","1"
